"query","category","intent","city","region_code","top_n","pages_to_scan","target_topic","query_focus","positive_page_pattern","negative_page_traps"
"как выбрать миграционный юрист","migration_law","informational","","","10","1","юридическая помощь по миграционным вопросам","выбор по критериям: миграционный юрист","страница именно про юридическая помощь по миграционным вопросам с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","туристическое агентство; новости миграции; форум без услуги; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"пожарная сигнализация отзывы","fire_safety","comparison","","","10","1","монтаж и обслуживание пожарной сигнализации","отзывы и выбор: пожарная сигнализация","страница именно про монтаж и обслуживание пожарной сигнализации с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","огнетушители без проекта; новости МЧС; обучение пожарной безопасности; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"стеллажи для склада отзывы","warehouse_racking","comparison","","","10","1","складские стеллажи и хранение","отзывы и выбор: стеллажи для склада","страница именно про складские стеллажи и хранение с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","домашние полки; аренда склада; погрузчики; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"кофемашина для офиса цена","coffee_machines","commercial","","","10","1","кофемашины и обслуживание для офиса","стоимость: кофемашина для офиса","страница именно про кофемашины и обслуживание для офиса с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","кофейня; ремонт чайников; статьи о кофе; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"внедрение crm рядом","crm_integration","commercial","Казань","43","10","1","внедрение CRM-систем","локальный поиск: внедрение crm","страница именно про внедрение CRM-систем с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","обзор CRM без внедрения; разработка сайта; обучение продажам; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"внедрение erp Новосибирск","erp_consulting","commercial","Новосибирск","65","10","1","ERP-консалтинг и автоматизация","внедрение erp в городе Новосибирск","страница именно про ERP-консалтинг и автоматизация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","бухгалтерская программа; вакансии консультанта; статьи без внедрения; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"внедрение erp цена","erp_consulting","commercial","","","10","1","ERP-консалтинг и автоматизация","стоимость: внедрение erp","страница именно про ERP-консалтинг и автоматизация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","бухгалтерская программа; вакансии консультанта; статьи без внедрения; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"внедрение erp отзывы","erp_consulting","comparison","","","10","1","ERP-консалтинг и автоматизация","отзывы и выбор: внедрение erp","страница именно про ERP-консалтинг и автоматизация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","бухгалтерская программа; вакансии консультанта; статьи без внедрения; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"как выбрать внедрение erp","erp_consulting","informational","","","10","1","ERP-консалтинг и автоматизация","выбор по критериям: внедрение erp","страница именно про ERP-консалтинг и автоматизация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","бухгалтерская программа; вакансии консультанта; статьи без внедрения; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"внедрение erp с гарантией","erp_consulting","commercial","","","10","1","ERP-консалтинг и автоматизация","гарантия и условия: внедрение erp","страница именно про ERP-консалтинг и автоматизация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","бухгалтерская программа; вакансии консультанта; статьи без внедрения; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"внедрение erp для бизнеса","erp_consulting","commercial","","","10","1","ERP-консалтинг и автоматизация","решение для бизнеса: внедрение erp","страница именно про ERP-консалтинг и автоматизация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","бухгалтерская программа; вакансии консультанта; статьи без внедрения; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"внедрение erp под ключ","erp_consulting","commercial","","","10","1","ERP-консалтинг и автоматизация","комплексная услуга: внедрение erp","страница именно про ERP-консалтинг и автоматизация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","бухгалтерская программа; вакансии консультанта; статьи без внедрения; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"внедрение erp рядом","erp_consulting","commercial","Новосибирск","65","10","1","ERP-консалтинг и автоматизация","локальный поиск: внедрение erp","страница именно про ERP-консалтинг и автоматизация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","бухгалтерская программа; вакансии консультанта; статьи без внедрения; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"внедрение erp консультация","erp_consulting","commercial","","","10","1","ERP-консалтинг и автоматизация","консультация по теме: внедрение erp","страница именно про ERP-консалтинг и автоматизация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","бухгалтерская программа; вакансии консультанта; статьи без внедрения; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"лучшие внедрение erp","erp_consulting","comparison","","","10","1","ERP-консалтинг и автоматизация","сравнение вариантов: внедрение erp","страница именно про ERP-консалтинг и автоматизация с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","бухгалтерская программа; вакансии консультанта; статьи без внедрения; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"подбор персонала Москва","hr_recruitment","commercial","Москва","213","10","1","рекрутинг и подбор сотрудников","подбор персонала в городе Москва","страница именно про рекрутинг и подбор сотрудников с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","доска вакансий; курсы HR; кадровый учет; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"подбор персонала цена","hr_recruitment","commercial","","","10","1","рекрутинг и подбор сотрудников","стоимость: подбор персонала","страница именно про рекрутинг и подбор сотрудников с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","доска вакансий; курсы HR; кадровый учет; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"подбор персонала отзывы","hr_recruitment","comparison","","","10","1","рекрутинг и подбор сотрудников","отзывы и выбор: подбор персонала","страница именно про рекрутинг и подбор сотрудников с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","доска вакансий; курсы HR; кадровый учет; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"как выбрать подбор персонала","hr_recruitment","informational","","","10","1","рекрутинг и подбор сотрудников","выбор по критериям: подбор персонала","страница именно про рекрутинг и подбор сотрудников с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","доска вакансий; курсы HR; кадровый учет; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"подбор персонала с гарантией","hr_recruitment","commercial","","","10","1","рекрутинг и подбор сотрудников","гарантия и условия: подбор персонала","страница именно про рекрутинг и подбор сотрудников с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","доска вакансий; курсы HR; кадровый учет; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"подбор персонала для бизнеса","hr_recruitment","commercial","","","10","1","рекрутинг и подбор сотрудников","решение для бизнеса: подбор персонала","страница именно про рекрутинг и подбор сотрудников с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","доска вакансий; курсы HR; кадровый учет; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"подбор персонала под ключ","hr_recruitment","commercial","","","10","1","рекрутинг и подбор сотрудников","комплексная услуга: подбор персонала","страница именно про рекрутинг и подбор сотрудников с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","доска вакансий; курсы HR; кадровый учет; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"подбор персонала рядом","hr_recruitment","commercial","Москва","213","10","1","рекрутинг и подбор сотрудников","локальный поиск: подбор персонала","страница именно про рекрутинг и подбор сотрудников с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","доска вакансий; курсы HR; кадровый учет; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"подбор персонала консультация","hr_recruitment","commercial","","","10","1","рекрутинг и подбор сотрудников","консультация по теме: подбор персонала","страница именно про рекрутинг и подбор сотрудников с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","доска вакансий; курсы HR; кадровый учет; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"лучшие подбор персонала","hr_recruitment","comparison","","","10","1","рекрутинг и подбор сотрудников","сравнение вариантов: подбор персонала","страница именно про рекрутинг и подбор сотрудников с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","доска вакансий; курсы HR; кадровый учет; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"корпоративное обучение Санкт-Петербург","corporate_training","commercial","Санкт-Петербург","2","10","1","обучение сотрудников компаний","корпоративное обучение в городе Санкт-Петербург","страница именно про обучение сотрудников компаний с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","школьные курсы; вакансии тренера; статьи без программы; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"корпоративное обучение цена","corporate_training","commercial","","","10","1","обучение сотрудников компаний","стоимость: корпоративное обучение","страница именно про обучение сотрудников компаний с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","школьные курсы; вакансии тренера; статьи без программы; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"корпоративное обучение отзывы","corporate_training","comparison","","","10","1","обучение сотрудников компаний","отзывы и выбор: корпоративное обучение","страница именно про обучение сотрудников компаний с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","школьные курсы; вакансии тренера; статьи без программы; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"как выбрать корпоративное обучение","corporate_training","informational","","","10","1","обучение сотрудников компаний","выбор по критериям: корпоративное обучение","страница именно про обучение сотрудников компаний с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","школьные курсы; вакансии тренера; статьи без программы; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"корпоративное обучение с гарантией","corporate_training","commercial","","","10","1","обучение сотрудников компаний","гарантия и условия: корпоративное обучение","страница именно про обучение сотрудников компаний с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","школьные курсы; вакансии тренера; статьи без программы; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"корпоративное обучение для бизнеса","corporate_training","commercial","","","10","1","обучение сотрудников компаний","решение для бизнеса: корпоративное обучение","страница именно про обучение сотрудников компаний с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","школьные курсы; вакансии тренера; статьи без программы; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"корпоративное обучение под ключ","corporate_training","commercial","","","10","1","обучение сотрудников компаний","комплексная услуга: корпоративное обучение","страница именно про обучение сотрудников компаний с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","школьные курсы; вакансии тренера; статьи без программы; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"корпоративное обучение рядом","corporate_training","commercial","Санкт-Петербург","2","10","1","обучение сотрудников компаний","локальный поиск: корпоративное обучение","страница именно про обучение сотрудников компаний с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","школьные курсы; вакансии тренера; статьи без программы; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
"корпоративное обучение консультация","corporate_training","commercial","","","10","1","обучение сотрудников компаний","консультация по теме: корпоративное обучение","страница именно про обучение сотрудников компаний с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием","школьные курсы; вакансии тренера; статьи без программы; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики"
