query,category,intent,city,region_code,top_n,pages_to_scan,target_topic,query_focus,positive_page_pattern,negative_page_traps
ветеринарная клиника Москва,veterinary_clinic,commercial,Москва,213,10,1,ветеринарные услуги для домашних животных,ветеринарная клиника в городе Москва,"страница именно про ветеринарные услуги для домашних животных с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",зоомагазин без врачей; новости про животных; человеческая клиника; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
ветеринарная клиника цена,veterinary_clinic,commercial,,,10,1,ветеринарные услуги для домашних животных,стоимость: ветеринарная клиника,"страница именно про ветеринарные услуги для домашних животных с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",зоомагазин без врачей; новости про животных; человеческая клиника; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
ветеринарная клиника отзывы,veterinary_clinic,comparison,,,10,1,ветеринарные услуги для домашних животных,отзывы и выбор: ветеринарная клиника,"страница именно про ветеринарные услуги для домашних животных с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",зоомагазин без врачей; новости про животных; человеческая клиника; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
как выбрать ветеринарная клиника,veterinary_clinic,informational,,,10,1,ветеринарные услуги для домашних животных,выбор по критериям: ветеринарная клиника,"страница именно про ветеринарные услуги для домашних животных с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",зоомагазин без врачей; новости про животных; человеческая клиника; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
ветеринарная клиника с гарантией,veterinary_clinic,commercial,,,10,1,ветеринарные услуги для домашних животных,гарантия и условия: ветеринарная клиника,"страница именно про ветеринарные услуги для домашних животных с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",зоомагазин без врачей; новости про животных; человеческая клиника; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
ветеринарная клиника для бизнеса,veterinary_clinic,commercial,,,10,1,ветеринарные услуги для домашних животных,решение для бизнеса: ветеринарная клиника,"страница именно про ветеринарные услуги для домашних животных с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",зоомагазин без врачей; новости про животных; человеческая клиника; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
ветеринарная клиника под ключ,veterinary_clinic,commercial,,,10,1,ветеринарные услуги для домашних животных,комплексная услуга: ветеринарная клиника,"страница именно про ветеринарные услуги для домашних животных с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",зоомагазин без врачей; новости про животных; человеческая клиника; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
ветеринарная клиника рядом,veterinary_clinic,commercial,Москва,213,10,1,ветеринарные услуги для домашних животных,локальный поиск: ветеринарная клиника,"страница именно про ветеринарные услуги для домашних животных с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",зоомагазин без врачей; новости про животных; человеческая клиника; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
ветеринарная клиника консультация,veterinary_clinic,commercial,,,10,1,ветеринарные услуги для домашних животных,консультация по теме: ветеринарная клиника,"страница именно про ветеринарные услуги для домашних животных с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",зоомагазин без врачей; новости про животных; человеческая клиника; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
лучшие ветеринарная клиника,veterinary_clinic,comparison,,,10,1,ветеринарные услуги для домашних животных,сравнение вариантов: ветеринарная клиника,"страница именно про ветеринарные услуги для домашних животных с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",зоомагазин без врачей; новости про животных; человеческая клиника; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
груминг собак Санкт-Петербург,pet_grooming,commercial,Санкт-Петербург,2,10,1,груминг и уход за животными,груминг собак в городе Санкт-Петербург,"страница именно про груминг и уход за животными с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",ветаптека; продажа кормов; статьи без записи к мастеру; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
груминг собак цена,pet_grooming,commercial,,,10,1,груминг и уход за животными,стоимость: груминг собак,"страница именно про груминг и уход за животными с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",ветаптека; продажа кормов; статьи без записи к мастеру; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
груминг собак отзывы,pet_grooming,comparison,,,10,1,груминг и уход за животными,отзывы и выбор: груминг собак,"страница именно про груминг и уход за животными с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",ветаптека; продажа кормов; статьи без записи к мастеру; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
как выбрать груминг собак,pet_grooming,informational,,,10,1,груминг и уход за животными,выбор по критериям: груминг собак,"страница именно про груминг и уход за животными с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",ветаптека; продажа кормов; статьи без записи к мастеру; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
груминг собак с гарантией,pet_grooming,commercial,,,10,1,груминг и уход за животными,гарантия и условия: груминг собак,"страница именно про груминг и уход за животными с понятным ответом на запрос, условиями, доказательствами, контактами или подробным информационным раскрытием",ветаптека; продажа кормов; статьи без записи к мастеру; страница с коммерческими словами без совпадения ядра запроса; качественный сайт из другой тематики
