query,category,intent,city,region_code,top_n,pages_to_scan,target_topic,query_focus,positive_page_pattern,negative_page_traps
козловой кран купить,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,покупка козлового крана,страница должна явно отвечать на потребность: покупка козлового крана; нужна коммерческая посадочная внутри темы: козловые краны и промышленное грузоподъемное оборудование; нужна возможность покупки заказа заявки консультации или подбора конкретного предложения,"мусор: страница не раскрывает покупка козлового крана, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: обзор или блог без возможности купить заказать или отправить заявку"
козловой кран цена,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,цена козлового крана,страница должна явно отвечать на потребность: цена козлового крана; нужна коммерческая посадочная внутри темы: козловые краны и промышленное грузоподъемное оборудование; обязательны цена диапазон тариф калькулятор или понятная логика расчета,"мусор: страница не раскрывает цена козлового крана, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета"
козловые краны производитель,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,производитель козловых кранов,страница должна явно отвечать на потребность: производитель козловых кранов; нужна коммерческая посадочная внутри темы: козловые краны и промышленное грузоподъемное оборудование; важны признаки реального исполнителя: реквизиты команда лицензии кейсы адрес или портфолио,"мусор: страница не раскрывает производитель козловых кранов, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: агрегатор или статья без признаков производителя застройщика или прямого продавца"
козловой кран 5 тонн купить,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,козловой кран грузоподъемностью 5 тонн,страница должна явно отвечать на потребность: козловой кран грузоподъемностью 5 тонн; нужна коммерческая посадочная внутри темы: козловые краны и промышленное грузоподъемное оборудование; нужна возможность покупки заказа заявки консультации или подбора конкретного предложения; должны совпадать важные уточнения из запроса: формат размер мощность тип объекта или комплектация,"мусор: страница не раскрывает козловой кран грузоподъемностью 5 тонн, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: обзор или блог без возможности купить заказать или отправить заявку; hard-negative: страница совпадает по теме но игнорирует ключевой технический уточнитель запроса"
козловой кран 10 тонн цена,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,козловой кран грузоподъемностью 10 тонн,страница должна явно отвечать на потребность: козловой кран грузоподъемностью 10 тонн; нужна коммерческая посадочная внутри темы: козловые краны и промышленное грузоподъемное оборудование; обязательны цена диапазон тариф калькулятор или понятная логика расчета; должны совпадать важные уточнения из запроса: формат размер мощность тип объекта или комплектация,"мусор: страница не раскрывает козловой кран грузоподъемностью 10 тонн, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета; hard-negative: страница совпадает по теме но игнорирует ключевой технический уточнитель запроса"
козловые краны для склада,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,складские козловые краны,страница должна явно отвечать на потребность: складские козловые краны; нужна коммерческая посадочная внутри темы: козловые краны и промышленное грузоподъемное оборудование,"мусор: страница не раскрывает складские козловые краны, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
заказать козловой кран с доставкой,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,заказ и доставка козлового крана,страница должна явно отвечать на потребность: заказ и доставка козлового крана; нужна коммерческая посадочная внутри темы: козловые краны и промышленное грузоподъемное оборудование; нужна возможность покупки заказа заявки консультации или подбора конкретного предложения; важна логистика: зона обслуживания выезд доставка карта или способы получения услуги,"мусор: страница не раскрывает заказ и доставка козлового крана, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: обзор или блог без возможности купить заказать или отправить заявку; hard-negative: нет зоны обслуживания доставки выезда адреса или локального подтверждения"
козловой кран бу купить,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,покупка б/у козлового крана,страница должна явно отвечать на потребность: покупка б/у козлового крана; нужна коммерческая посадочная внутри темы: козловые краны и промышленное грузоподъемное оборудование; нужна возможность покупки заказа заявки консультации или подбора конкретного предложения,"мусор: страница не раскрывает покупка б/у козлового крана, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: обзор или блог без возможности купить заказать или отправить заявку"
козловой кран монтаж,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,монтаж козлового крана,страница должна явно отвечать на потребность: монтаж козлового крана; нужна коммерческая посадочная внутри темы: козловые краны и промышленное грузоподъемное оборудование; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда,"мусор: страница не раскрывает монтаж козлового крана, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: каталог товаров без подтверждения выполнения нужной услуги"
как выбрать козловой кран,industrial_cranes,informational,,,10,2,козловые краны и промышленное грузоподъемное оборудование,выбор козлового крана,страница должна явно отвечать на потребность: выбор козлового крана; нужен полезный разбор темы с конкретными критериями примерами и ответом на вопрос; страница должна помогать принять решение а не просто продавать услугу,"мусор: страница не раскрывает выбор козлового крана, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа; слабая релевантность: каталог или рекламная страница без ответа на вопрос пользователя; hard-negative: страница не объясняет критерии выбора причины отличия подготовку или этапы"
